volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
0,0,0,0
0.003651,117.401215,0.036506,0
0.007303,117.400566,0.073011,0
0.010954,117.403603,0.109517,0
0.014605,117.521179,0.146023,0
0.018257,117.584976,0.182528,0
0.021908,117.666946,0.219034,0
0.025559,117.776001,0.25554,0
0.02921,117.829514,0.292045,0
0.032862,117.766975,0.328551,0
0.036513,117.591759,0.365057,0
0.040164,117.365623,0.401563,0
0.043816,117.146065,0.438068,0
0.047467,116.873558,0.474574,0
0.051118,116.52903,0.51108,0
0.05477,116.101013,0.547585,0
0.058421,115.552223,0.584091,0
0.062072,114.85923,0.620597,0
0.065724,114.213829,0.657102,0
0.069375,114.324623,0.693608,0
0.073026,116.742874,0.730114,0
0.076677,122.065872,0.766619,0
0.080329,128.961761,0.803125,0
0.08398,132.872772,0.839631,0
0.087631,136.028336,0.876136,0
0.091283,138.28215,0.912642,0
0.094934,140.915146,0.949148,0
0.098585,143.02121,0.985653,0
0.102237,145.074326,1.022159,0
0.105888,163.395798,1.058665,0
0.109539,164.582123,1.09517,0
0.11319,166.39827,1.131676,0
0.116842,167.628601,1.168182,0
0.120493,168.074722,1.204688,0
0.124144,169.194046,1.241193,0
0.127796,167.891083,1.277699,0
0.131447,163.55481,1.314205,0
0.135098,157.745178,1.35071,0
0.13875,151.362732,1.387216,0
0.142401,148.109421,1.423722,0
0.146052,144.871109,1.460227,0
0.149704,142.188461,1.496733,0
0.153355,139.122574,1.533239,0
0.157006,136.534378,1.569744,0
0.160657,134.049469,1.60625,0
0.164309,132.176834,1.642756,0
0.16796,131.364914,1.679261,0
0.171611,130.314758,1.715767,0
0.175263,132.383957,1.752273,0
0.178914,131.084396,1.788779,0
0.182565,128.970154,1.825284,0
0.186217,125.398476,1.86179,0
0.189868,123.65126,1.898296,0
0.193519,122.676933,1.934801,0
0.197171,121.257713,1.971307,0
0.200822,121.112686,2.007813,0
0.204473,120.988113,2.044318,0
0.208124,120.066505,2.080824,0
0.211776,121.747322,2.11733,0
0.215427,123.891678,2.153835,0
0.219078,123.808739,2.190341,0
0.22273,122.728859,2.226847,0
0.226381,121.723778,2.263352,0
0.230032,120.866943,2.299858,0
0.233684,120.246559,2.336364,0
0.237335,119.599251,2.372869,0
0.240986,118.830894,2.409375,0
0.244638,118.225296,2.445881,0
0.248289,117.062607,2.482387,0
0.25194,114.099686,2.518892,0
0.255591,110.833244,2.555398,0
0.259243,105.214958,2.591904,0
0.262894,102.177826,2.628409,0
0.266545,100.115532,2.664915,0
0.270197,98.895683,2.701421,0
0.273848,97.104195,2.737926,0
0.277499,95.360741,2.774432,0
0.281151,93.366966,2.810938,0
0.284802,92.109245,2.847443,0
0.288453,91.019936,2.883949,0
0.292105,90.393387,2.920455,0
0.295756,88.280762,2.95696,0
0.299407,85.779945,2.993466,0
0.303058,83.901291,3.029972,0
0.30671,82.456596,3.066478,0
0.310361,81.656151,3.102983,0
0.314012,81.329529,3.139489,0
0.317664,81.287041,3.175995,0
0.321315,81.276291,3.2125,0
0.324966,81.231354,3.249006,0
0.328618,81.371468,3.285511,0
0.332269,81.644707,3.322017,0
0.33592,82.032722,3.358523,0
0.339571,81.985802,3.395029,0
0.343223,81.659203,3.431534,0
0.346874,81.436592,3.46804,0
0.350525,81.618904,3.504546,0
0.354177,82.537651,3.541051,0
0.357828,84.457359,3.577557,0
0.361479,86.743073,3.614063,0
0.365131,88.663803,3.650568,0
0.368782,89.89566,3.687074,0
0.372433,90.726677,3.72358,0
0.376085,91.746346,3.760086,0
0.379736,93.189514,3.796591,0
0.383387,94.920746,3.833097,0
0.387038,96.684692,3.869602,0
0.39069,98.358253,3.906108,0
0.394341,99.718025,3.942614,0
0.397992,100.667206,3.97912,0
0.401644,101.281036,4.015625,0
0.405295,101.936317,4.052131,0
0.408946,102.825737,4.088636,0
0.412598,103.838531,4.125142,0
0.416249,104.98333,4.161648,0
0.4199,106.308899,4.198153,0
0.423552,107.800499,4.234659,0
0.427203,109.208412,4.271165,0
0.430854,110.396873,4.307671,0
0.434505,111.278297,4.344176,0
0.438157,111.526161,4.380682,0
0.441808,110.629189,4.417188,0
0.445459,109.538918,4.453693,0
0.449111,108.779228,4.490199,0
0.452762,108.202591,4.526705,0
0.456413,107.706276,4.56321,0
0.460065,107.25946,4.599716,0
0.463716,106.821396,4.636222,0
0.467367,106.348473,4.672728,0
0.471019,105.908699,4.709233,0
0.47467,105.571266,4.745739,0
0.478321,105.366013,4.782245,0
0.481972,105.251404,4.81875,0
0.485624,105.216911,4.855256,0
0.489275,105.179459,4.891762,0
0.492926,105.034462,4.928267,0
0.496578,104.766457,4.964773,0
0.500229,104.444466,5.001279,0
0.50388,104.177521,5.037785,0
0.507532,104.023514,5.07429,0
0.511183,103.982162,5.110796,0
0.514834,104.018272,5.147302,0
0.518485,104.071602,5.183807,0
0.522137,104.104424,5.220313,0
0.525788,104.161552,5.256819,0
0.529439,104.255035,5.293324,0
0.533091,104.356964,5.32983,0
0.536742,104.445992,5.366335,0
0.540393,104.501564,5.402841,0
0.544045,104.529831,5.439347,0
0.547696,104.506279,5.475852,0
0.551347,104.394135,5.512358,0
0.554999,104.24305,5.548864,0
0.55865,104.009384,5.58537,0
0.562301,103.678635,5.621875,0
0.565952,103.32827,5.658381,0
0.569604,102.961609,5.694887,0
0.573255,102.712639,5.731392,0
0.576906,102.598824,5.767898,0
0.580558,102.616661,5.804404,0
0.584209,102.776169,5.840909,0
0.58786,103.160217,5.877415,0
0.591512,103.883728,5.913921,0
0.595163,104.952385,5.950427,0
0.598814,106.281845,5.986932,0
0.602466,107.926506,6.023438,0
0.606117,109.64624,6.059944,0
0.609768,111.223412,6.096449,0
0.613419,112.852821,6.132955,0
0.617071,114.744301,6.169461,0
0.620722,116.921257,6.205966,0
0.624373,119.269516,6.242472,0
0.628025,121.740166,6.278978,0
0.631676,124.512497,6.315484,0
0.635327,127.723381,6.351989,0
0.638979,131.087784,6.388495,0
0.64263,134.604294,6.425,0
0.646281,138.201752,6.461506,0
0.649933,141.595825,6.498012,0
0.653584,144.820953,6.534517,0
0.657235,147.853943,6.571023,0
0.660886,150.558334,6.607529,0
0.664538,153.056564,6.644034,0
0.668189,155.261658,6.68054,0
0.67184,157.073547,6.717046,0
